title,seasons_count,episodes_count,ratings,vote_count,popularity,original_language,overview,genres,production_details,air_years,cast,keywords,imdb_id,networks,country_of_origin
Mortal Kombat: Legacy,2,19,7.3,11000,80.3,English,"The first season of Mortal Kombat Legacy is a prequel to the original game, explaining the background stories of several characters from the series and demonstrating their reasons for participating in the upcoming tenth Mortal Kombat tournament on which the first game was based.","Action & Adventure, Sci-Fi & Fantasy","NetherRealm Studios, Contradiction Films, Goldtooth Creative; prequel to the original game",2011-2013,"Casper Van Dien: Johnny Cage, Ian Anthony Dale: Hanzo Hasashi …, Samantha Win: Kitana, Kim Do Nguyen: Ermac …, Dan Southworth: Kenshi, Johnson Phan: Shang Tsung, Mark Dacascos: Kung Lao, Eric Jacobus: Kurtis Stryker, Eric Steinberg: Sub-Zero …, David Lee McInnis: Raiden","tournament, warrior, win, emperor, unleash, generation, consume, realm, participate, soul, gather, final, ancient, victory, dark, protect, great, world",tt1842127,YouTube,Canada
Copper,2,23,7.5,11000,82.5,English,Kevin Corcoran is a rugged young Irish immigrant policeman trying to keep the peace in the historical Five Points neighborhood in 1860s New York City while searching for information on the disappearance of his wife and death of his daughter.,"Action & Adventure, Drama",,2012-2013,"Tom Weston-Jones: Detective Kevin Corcoran, Kyle Schmid: Robert Morehouse, Anastasia Griffith: Elizabeth Haverford …, Ato Essandoh: Doctor Matthew Freeman, Kevin Ryan: Detective Francis Maguire …, Dylan Taylor: Andrew O'Brien …, Tessa Thompson: Sara Freeman, Franka Potente: Eva Heissen, Ron White: Captain Ciaran Joseph Sullivan, Kiara Glasco: Annie Reilly …","neighborhood, irish, york city, new york, york, force, city, new, interact, veteran, crowd, navigate, city police, black, cop, civil, point, manhattan, dangerous, community, focus, police, join, war, american, set, young",tt2006374,BBC America,United States
Enlightened,2,18,7.5,11000,82.5,English,"After a very public breakdown and a subsequent philosophical awakening in rehabilitation, Amy tries to get her life back together.","Comedy, Drama",,2011-2013,"Laura Dern: Amy Jellicoe, Diane Ladd: Helen Jellicoe, Sarah Burns: Krista Jacobs, Luke Wilson: Levi Callow, Timm Sharp: Dougie Daniels, Mike White: Tyler, Jon Shere: Louis, Brent Bradshaw: Ken, Bayne Gibby: Connie, Michaela Watkins: Janice Holm","self, create, home, work, woman, live, life",tt1509004,HBO,United States
The Guild,6,70,8.2,11000,90.2,English,Fantasy and reality collide when a surprisingly diverse group of online video-game addicts struggle to balance the game with personal relationships.,Comedy,,2007-2013,"Felicia Day: Codex …, Sandeep Parikh: Zaboo, Jeff Lewis: Vork, Robin Thorsen: Clara, Amy Okuda: Tinkerballa …, Vincent Caso: Bladezz, Brett Sheridan: George …, Wil Wheaton: Fawkes, Viji Nathan: Zaboo's Mom, Blake Sheridan: Baby","video game, knight, online, video, game, life, good, lead normal, countless, attempt lead, hour, normal life, revolve, normal, show, member, anonymous, focus, play, attempt, lead",tt1138475,YouTube,United States
Parade's End,1,5,7.4,11000,81.4,English,"The story of a love triangle between a conservative English aristocrat, his mean socialite wife and a young suffragette in the midst of World War I and a Europe on the brink of profound change.","Drama, War & Politics","Mammoth Screen, Anchorage Entertainment, BNP Paribas Fortis, Look Out Point, Trademark Films, VRT; 1",2012-2012,"Benedict Cumberbatch: Christopher Tietjens, Rebecca Hall: Sylvia Tietjens, Roger Allam: General Campion, Adelaide Clemens: Valentine Wannop, Rupert Everett: Mark Tietjens, Miranda Richardson: Mrs. Wannop, Sasha Waddell: Glorvina, Janet McTeer: Mrs. Satterthwaite, Clare Higgins: Lady Claudine, Tom Mison: Potty Perowne","love, middle, wife, young, memory, ruin, privilege, recb3, middle aged, christopher, chris, aged, affair, difficult, fall love, wealth, teach, begin fall, choose, endure, civil, loss, english, female, revolve, mean, remain, situation, marriage, war, fall, get, begin, set, deal, follow, woman, time, new, life, anonymous",tt1956017,"HBO Europe, BBC Two","United Kingdom, Belgium, United States"
Jane by Design,1,18,7.3,11000,80.3,English,"Teenage Jane lands a job at Donovan Decker, a hip fashion house, when they mistake her for an adult. Jane soon finds herself juggling life both as a regular high school student and as an assistant to a high powered executive in the cutthroat world of fashion... all while trying to keep her true identity a secret.","Comedy, Drama",ABC Family Worldwide,2012-2012,"Nick Roux: Billy Nutter, Rowly Dennis: Jeremy Jones, David Clayton Rogers: Ben …, Erica Dasher: Jane Quimby, India de Beaufort: India Jordain, Matthew Atkinson: Nick Fadden, Andie MacDowell: Gray Chandler Murray, Smith Cho: Rita Shaw, Ser'Darius Blain: Carter, Meagan Tandy: Lulu Pope","outsider, fashion, identity, double, high school, career, case, girl, school, high, world, live, life",tt1743904,ABC Family,United States
Make It or Break It,3,48,7.5,11000,82.5,English,"Set in the world of competitive gymnastics, the series follows a group of teen Olympic hopefuls as they train for their day in the spotlight.",Drama,,2009-2012,"Ayla Kell: Payson Keeler, Josie Loren: Kaylie Cruz, Cassandra Scerbo: Lauren Tanner, Candace Cameron Bure: Summer Van Horne, Chelsea Hobbs: Emily Kmetko, Susan Ward: Chloe Kmetko, Peri Gilpin: Kim Keeler, Neil Jackson: Sasha Beloff, Anthony Starke: Steve Tanner, Zachary Abel: Carter Anderson","rivalry, betrayal, facility, elite, teenage, boyfriend, coach, parent, group, train, deal, know",tt1332030,ABC Family,United States
Ugly Americans,2,31,8.0,11000,88.0,English,"Social worker Mark Lilly helps new citizens—both human and ""other""—begin the process of adapting to life in the Big Apple, but his coworkers, demonic bureaucrat Twayne, drunken wizard Leonard Powers, surly law enforcement head Frank Grimes & his girlfriend, Callie, don't make it easy.","Animation, Comedy","Augenblick Studios, Cuppa Coffee Studios, Turner Studios, Solis Animation",2010-2012,"Matt Oberg: Mark Lilly, Natasha Leggero: Callie Maggotbone, Kurt Metzger: Randall Skeffington, Randy Pearlstein: Leonard Powers …, Julie Klausner: Angel …, Michael-Leon Wooley: Twayne Boneraper, Larry Murphy: Lt. Francis Grimes …, Devin Clark: Croatian Man …, Pete Holmes: Eric, Mike O'Gorman: Various …","freak, ugly, fantasy, add, york city, york, new york, get, city, new",tt1621748,Comedy Central,"United States, Canada"
Batman: The Brave and the Bold,3,65,7.3,11000,80.3,English,"The Caped Crusader is teamed up with Blue Beetle, Green Arrow, Aquaman and countless others in his quest to uphold justice.","Animation, Action & Adventure","Warner Bros. Animation, DC Comics; dc universe",2008-2011,"Diedrich Bader: Batman …, John DiMaggio: Aquaman …, James Arnold Taylor: Green Arrow …, Dee Bradley Baker: Clock King …, Jeff Bennett: Joker …, Kevin Michael Richardson: Black Manta …, Will Friedle: Blue Beetle …, Tom Kenny: Plastic Man …, Corey Burton: Doc Magnus …, Greg Ellis: Cavalier …","universe, face, animation, ruthless, sentinel, limit, johnny sentinel, franchise, formidable, arrow, blue, animate, bat, countless, late, green, action, classic, johnny, center, hero, fellow, situation, chance, team, see, adventure, base, bring, great, home, deal, help, find, go, city, family, series, come, new, time",tt1213218,Cartoon Network,United States
The Nine Lives of Chloe King,1,10,7.0,11000,77.0,English,"Chloe King is looking forward to celebrating her birthday with her friends and single mother, just like every other year... that is until she starts developing heightened abilities and discovers she's being pursued by a mysterious figure. Chloe soon learns she's part of an ancient race which has been hunted by human assassins for millennia —and that she may be their only hope for ultimate survival.","Action & Adventure, Drama, Sci-Fi & Fantasy",,2011-2011,"Skyler Samuels: Chloe King, Gracie Gillam: Amy, Ki Hong Lee: Paul, Benjamin Stone: Alek Petrov, Alyssa Diaz: Jasmine, Grey Damon: Brian Rezza, Amy Pietz: Meredith King, David S. Lee: Whitley Rezza, Aeriél Miranda: Lana, Jolene Andersen: Simone","race, normal, human, power, kiss, necessary, consequence, circumstance, assassinate, secret organization, school student, simple, fall love, dead, add, deadly, king, high school, think, special, organization, assassin, school, girl, want, turn, student, high, problem, protect, fall, give, secret, set, find, love, time, new",tt0499400,ABC Family,United States
Hellcats,1,22,6.7,11000,73.7,English,"Pre-law student Marti Perkins' world is flipped upside down when she loses her scholarship, and realizes the only way she can stay in school is by reigniting her dormant teen gymnastic skills to win a place on Lancer University's legendary cheerleading team.",Drama,"Bonanza Productions, Warner Bros. Television, CBS Studios",2010-2011,"Aly Michalka: Marti Perkins, Ashley Tisdale: Savannah Monroe, Robbie Jones: Lewis Flynn, Heather Hemmens: Alice Verdura, Jeremy Wong: Darwin, Sharon Leal: Vanessa Lodge, Matt Barr: Dan Patch, Gail O'Grady: Wanda Perkins, Louise Hradsky: Gretchen …, Genny Sermonia: Hellcat #3","college, world",tt1596356,The CW,"United States, Canada"
Rubicon,1,13,7.9,11000,86.9,English,An intelligence analyst at a national think tank in New York City called the American Policy Institute discovers that he may be working with members of a secret society that manipulates world events on a grand scale.,"Crime, Drama, Mystery","Warner Horizon Television, American Movie Classics (AMC)",2010-2010,"James Badge Dale: Will Travers, Jessica Ann Collins: Maggie Young, Lauren Hodges: Tanya MacGaffin, Dallas Roberts: Miles Fiedler, Christopher Evan Welch: Grant Test, Arliss Howard: Kale Ingram, Miranda Richardson: Katherine Rhumor, Michael Cristofer: Truxton Spangler, David Rasche: James Wheeler, Natalie Gold: Julia Harwell","analyst, intelligence, federal, throw, appear, base, york city, york, new york, city, new",tt1389371,AMC,United States
Eli Stone,2,26,7.7,11000,84.7,English,"Many lawyers consider themselves prophets, but Eli Stone may be the real deal. Eli has built a successful career at a top law firm in San Francisco representing only the biggest and richest corporations that make a habit of screwing over the little guy. But after experiencing a series of odd hallucinations, Eli seeks to find a deeper meaning to life while trying not to lose his job and destroy his relationship with the bosses' daughter. When Eli discovers an aneurysm in his brain, he wonders if his condition is truly medical or if perhaps he now has a higher calling.","Sci-Fi & Fantasy, Drama","ABC Studios, AfterPortsmouth Productions, Berlanti Productions, Touchstone Television",2008-2009,"Jonny Lee Miller: Eli Stone, Natasha Henstridge: Taylor Wethersby, Loretta Devine: Patti Dellacroix, Matt Letscher: Nathan Stone, Sam Jaeger: Matt Dowd, James Saito: Dr. Frank Chen, Victor Garber: Jordan Wethersby, Julie Gonzalo: Maggie Dekker, Jason George: Keith Bennett, Tom Amandes: Martin Posner","lead, lot, accept, san, vision, thing, brain, gain, little, case, discover, begin",tt0892535,ABC,United States
Little Dorrit,1,14,8.2,11000,90.2,English,"Amy Dorrit spends her days earning money for the family and looking after her proud father who is a long term inmate of Marshalsea debtors' prison in London. Amy and her family's world is transformed when her employer's son, Arthur Clennam, returns from overseas to solve his family's mysterious legacy and discovers that their lives are interlinked.",Drama,"BBC, WGBH",2008-2008,"Matthew Macfadyen: Arthur Clennam, Claire Foy: Amy Dorrit, Tom Courtenay: Mr. Dorrit, Judy Parfitt: Mrs. Clennam, Emma Pierson: Fanny Dorrit …, Alun Armstrong: Flintwinch …, Eddie Marsan: Pancks, Jason Thorpe: Cavalletto, Sebastian Armesto: Edmund Sparkler …, Andy Serkis: Rigaud","family, prison, rich, mini, london, long term, series tell, nature, wide swath, swath, earn, contact, arthur, amy, inmate, family world, legacy, wide, boss, family life, english, society, revolve, money, transform, life, kind, term, father, long, solve, bring, mysterious, spend, discover, return, look, son, day, tell, series, world",tt1178522,BBC One,"United Kingdom, United States"
The Colour of Magic,1,2,6.9,11000,75.9,English,"As Rincewind involuntarily becomes a guide to the naive tourist Twoflower, they find themselves forced to flee the city of Ankh-Morpork to escape a terrible fire, and begin on a journey across the Disc. Unknown to them, their journey and fate is being decided by the Gods playing a board game the whole time.","Action & Adventure, Sci-Fi & Fantasy, Comedy","The Mob Film Company, RHI Entertainment",2008-2008,"David Jason: Rincewind, Sean Astin: Twoflower, Tim Curry: Trymon, Jeremy Irons: Patrician, Brian Cox: Narrator, Christopher Lee: Death, Geoffrey Hutchings: Picture Imp, Marnix Van Den Broeke: Death, Michael Mears: Jiglad Wert, Roger Ashton-Griffiths: Lumuel Panter","magic, city, good, magical, jason, naive, rich, guard, realm, role, david, task, fantasy, person, local, light, novel, feel, sell, appear, student, problem, give, get, end, know, come, world",tt1079959,Sky One,United Kingdom
Battlestar Galactica: The Resistance,1,10,7.8,11000,85.8,English,"Battlestar Galactica: The Resistance is an online series that aims to fill in the gaps between seasons two and three of the Re-imagined Series. The webisodes can be viewed through the official web portal at Syfy.com. The webisode series was written by Battlestar Galactica veterans Bradley Thompson and David Weddle, and directed by Wayne Rose. The entire series is 27 minutes long in total, divided into 10 episodes. While the Webisodes are included in the Region 1 DVD boxset of Season 3, they are not included in the Region 2 version. They are, however, included on all Blu-ray releases. In particular, the Webisodes chronicle Duck's and Jammer's motivations to become suicide-bomber and collaborator, respectively.","Drama, Sci-Fi & Fantasy",,2006-2006,"Dominic Zamprogna: James 'Jammer' Lyman, Aaron Douglas: Chief Galen Tyrol, Michael Hogan: Colonel Saul Tigh, Christian Tessier: Lt. Tucker 'Duck' Clellan, Alisen Richmond-Peck: Jean Barolay, Nicki Clyne: Crewman Specialist Cally Tyrol, Emily Holmes: Nora Farmer, Carmen Moore: Sister Tivenan, Matthew Bennett: Aaron Doral …","series, include, season, version, resistance, particular, ray, view, bradley, minute, gap, portal, imagine, fill, web, release, aim, online, david, entire, direct, episode, com, rise",tt0840800,,"United States, Canada"
Lucky Louie,1,13,7.8,11000,85.8,English,"Lucky Louie is an American television sitcom created by Louis C.K., which aired on HBO for one season in 2006. C.K. stars as the eponymous Louie, a part-time mechanic. The show revolves around the life of Louie, who lives with his wife, Kim, who is a full-time nurse, and their four-year-old daughter, Lucy. A first for HBO, Lucky Louie was filmed before a live studio audience, in a multiple-camera setup.",Comedy,,2006-2006,"Louis C.K.: Louie, Pamela Adlon: Kim, Mike Hagerty: Mike, Laura Kightlinger: Tina, Jim Norton: Rich, Rick Shapiro: Jerry, Kim Hawthorne: Ellen, Jerry Minor: Walter, Kelly Gould: Lucy, Blesst Bowden: Lisa","class, work, family, friend, friend work",tt0460619,HBO,United States
Rocket Power,3,119,6.9,11000,75.9,English,"The daily lives of four friends who enjoy extreme sports, surfing, and getting into some crazy situations.","Animation, Comedy, Family","Nickelodeon Productions, Klasky-Csupo",1999-2004,"Joseph Ashton: Otto Rocket …, Shayna Fox: Reggie Rocket …, John Kassir: Ray Rocket …, Ray Bumatai: Tito Makani …, Ulysses Cuadra: Twister Rodriguez …, Lombardo Boyar: Lars Rodriguez …, Gary LeRoi Gray: Sam Dullard, Sam Saletta: Sam Dullard …, Henry Gibson: Merv Stimpleton …, Jason Spisak: Pi Piston …","sport, daily life, life play, crazy, extreme, daily, situation, play, get, friend, life",tt0244926,Nickelodeon,"Canada, United States, South Korea"
Home Movies,4,52,8.2,11000,90.2,English,"TV series about the life of Brendon Small, an eight-year-old visionary who, using his friends Jason and Melissa as actors, have managed to direct over a thousand homemade films. His parents are divorced, but it doesn't feel strange since so many other kids' parents are divorced. His friend Jason actually feels upset because his parents are still together. At school, he is taught soccer by his coach John McGuirk, or as he calls him, ""that weird Irish guy"".","Animation, Comedy, Drama","Burns & Burns Productions, Tom Snyder Productions, Soup2Nuts, Warner Bros. Television",1999-2004,"Brendon Small: Brendon Small …, H. Jon Benjamin: Jason Penopolis …, Melissa Bardin Galsky: Melissa Robbins, Ron Lynch: Ronald Lynch, Janine Ditullio: Paula Small, Sam Seder: Fenton Mulley …, Jonathan Katz: Eric Robbins …, Bill Braudis: Various …, Laura Silverman: Linda …, Jen Kirkman: Cynthia …","parent, jason, small, friend, feel, year old, old, year, upset, john, irish, guy, shoot, teach, manage, coach, strange, kid, life, term, direct, good friend, school, relationship, call, series, come, good",tt0197159,"UPN, Adult Swim",United States
The Mists of Avalon,1,2,6.8,11000,74.8,English,The Mists of Avalon is a 2001 miniseries based on the novel of the same name by Marion Zimmer Bradley. It was produced by American cable channel TNT and directed by Uli Edel.,"Sci-Fi & Fantasy, Drama, Action & Adventure","The Wolper Organization, Stillking Films, Warner Bros. Pictures, Turner Network Television, Constantin Film",2001-2001,"Anjelica Huston: Vivianne, Julianna Margulies: Morgaine, Joan Allen: Morgause, Samantha Mathis: Gwenwyfar, Caroline Goodall: Igraine, Edward Atterton: Arthur, Michael Vartan: Lancelot, Michael Byrne: Merlin, Hans Matheson: Mordred, Mark Lewis Jones: Uther","arthur, tell, woman, bradley, aunt, perspective, tale, king, anonymous, sister, base, mother, wife, include, world",tt0244353,TNT,"Czech Republic, Germany, United States"
Hunter × Hunter,1,62,8.6,11000,94.6,Japanese,"Gon Freecss discovers that the father he had always been told was dead was actually alive the whole time. Ging is a famous Hunter: an individual who has proven themself an elite member of humanity. Gon becomes determined to follow in his father's footsteps, pass the rigorous Hunter Examination.","Sci-Fi & Fantasy, Action & Adventure, Animation, Comedy, Drama",Nippon Animation,1999-2001,"Junko Takeuchi: Gon Freecss, Yuki Kaida: Kurapika …, Cheryl McMaster: Kurapika …, Kanako Mitsuhashi: Killua, Annika Odegard: Killua, Hozumi Gôda: Leorio …, Jonathan Love: Leorio Paradinight, Hiroki Takahashi: Hisoka …, Kôhei Kowada: Tonpa …, Takashi Matsuyama: Nobunaga …","father, aspire, test, boy, dream, leave, find, year, pursue, time year, variety, quest, long time, embark, mal, access, attain, defy, doctor, mal rewrite, rate, privilege, pick, odd, success, rewrite, revenge, allow, aim, age, classic, history, fighting, gather, low, reason, wide, hard, unknown, dangerous, deadly, person, miss, special, hope, seek, long, year old, challenge, adventure",tt0426719,Fuji TV,Japan
La Femme Nikita,5,96,7.5,11000,82.5,English,"La Femme Nikita was a Canadian action/drama television series based on the French film Nikita by Luc Besson. The series was co-produced by Jay Firestone of Fireworks Entertainment and Warner Bros.. It was adapted for television by Joel Surnow. The series was first telecast in North America on the USA Network cable channel on January 13, 1997, and ran for five television seasons—until March 2001. The series was also aired in Canada on the over-the-air CTV Television Network. La Femme Nikita was the highest-rated drama on American basic cable during its first two seasons. It was also distributed in some other countries, and it continues to have a strong cult following.","Action & Adventure, Drama",,1997-2001,"Peta Wilson: Nikita, Don Francks: Walter, Eugene Robert Glazer: Operations …, Roy Dupuis: Michael Samuelle, Matthew Ferguson: Seymour Birkoff …, Alberta Watson: Madeline …, Carlo Rota: Mick Schtoppel …, Lindsay Collins: Devo #1 …, Cindy Dolenc: Kate Quinn, Lawrence Bayne: Davenport","organization, new, death, ruthless, necessary, code, government assassin, twin, asset, assassin life, ahmetkozan, fake, fighting, ability, choose, prove, control, crime, government, skill, kill, believe, beauty, job, plan, assassin, train, name, murder, secret, live, life",tt0118379,USA Network,Canada
Attila,1,2,6.6,11000,72.6,English,"Attila was an American TV miniseries set during the waning days of the Western Roman Empire, in particular during the invasions of the Huns in Europe.",Drama,"Alphaville Films, Attila Productions, Michael R. Joyce Productions, USA Network",2001-2001,"Pauline Lynch: Galen, Steven Berkoff: King Rua, Andrew Pleavin: Orestes, Tommy Flanagan: Bleda, Kirsty Mitchell: Honoria, Jonathan Hyde: Felix, Tim Curry: Theodosius, Janet Henfrey: Palcharia, Liam Cunningham: King Theodoric, Rollo Weeks: Young Attila","king, empire, attack, tell, fall, rule, brother, east, god, poison, offer, vision, die, know, kill, power, daughter, send, plan, return, battle, force, great, mother, son, marry, prepare, throne, territory, ask, arrow, capable, emperor, fail, crown, take, alliance, army, raid, shoot, stand, earth, dead, visit, ancient, defeat, remain, sister, time, see",tt0259127,USA Network,"United States, Lithuania"
Spawn,3,18,8.0,11000,88.0,English,"Todd McFarlane's Spawn is an animated television series which aired on HBO from 1997 through 1999. It is also released on DVD as a film series. It is based on the Spawn comic series from Image Comics, and was nominated for and won an Emmy in 1999 for Outstanding Animation Program. An unrelated series titled Spawn: The Animation is in production since 2009, with Keith David reprising his role as the titular character. Like the comic book, the series features graphic violence, sexual scenes, and extensive use of profanity. Todd McFarlane's Spawn was ranked 5th on IGN's list of The Greatest Comic Book Cartoons Of All Time.","Action & Adventure, Animation, Drama, Sci-Fi & Fantasy","HBO, Todd McFarlane Entertainment",1997-1999,"Keith David: Spawn, Richard Dysart: Cogliostro, Dominique Jennings: Wanda Blake, Todd McFarlane: Self - Host, James Keane: Sam Burke …, Michael McShane: Gareb …, John Rafter Lee: Jason Wynn, Victor Love: Terry Fitzgerald …, Michael Nicolosi: Clown …, Kath Soucie: Cyan …","hell, army, soul, innocent, government, life, assassin, death, face, chaos, devil, corrupt, pay, assassin life, government assassin, johnny sentinel, contact, resurrect, sentinel, price, johnny, choose, destroy, dead, widow, tear, release, fate, tragedy, reality, fact, sell, lose, send, com, join, bring, old, train, battle, past, wife, protect, force, murder, try, take, way, come, good",tt0118475,HBO,United States
Millennium,3,67,8.3,11000,91.3,English,"A retired FBI serial-profiler joins the mysterious Millennium Group, a team of underground ex-law enforcement experts dedicated to fighting against the ever-growing forces of evil and darkness in the world.","Drama, Crime, Mystery, Sci-Fi & Fantasy",Ten Thirteen Productions,1996-1999,"Noomi Rapace: Lisbeth Salander, Michael Nyqvist: Mikael Blomkvist, Lena Endre: Erika Berger, Sofia Papadimitriou Ledarp: Malin Erikson, Jacob Ericksson: Christer Malm, Peter Andersson: Nils Bjurman, Per Oscarsson: Holger Palmgren, Georgi Staykov: Alexander Zalachenko, Michalis Koutsogiannakis: Dragan Armanskij, Tomas Köhler: Plague","journalist, ugly, summon, silence, cover, corrupt, computer, sinister, radical, safe, newspaper, hell, brilliant, disappearance, harriet, clear, conspiracy, suspect, unravel, government, point, light, date, miss, police, long, plan, dark, adventure, decide, begin, secret, help, woman, good, year",tt1634549,FOX,"Sweden, Germany, Denmark"
Mr. Show with Bob and David,4,30,8.4,11000,92.4,English,"Mr. Show with Bob and David is an American sketch comedy series starring and hosted by Saturday Night Live writer/actor Bob Odenkirk and stand up comedian/actor David Cross. Cross and Odenkirk introduced most episodes as heightened versions of themselves, before transitioning to a mixture of live sketches and pre-taped segments. The show featured a number of alternative comedians as both cast members and writers.",Comedy,Brillstein-Grey Entertainment,1995-1998,"Bob Odenkirk: Self - Host …, David Cross: Self - Host …, John Ennis: Various, Jay Johnston: Various …, Paul F. Tompkins: Various, Jill Talley: Various …, Brett Paesel: Various, Brian Posehn: Various, Tom Kenny: Various, Bill Odenkirk: Various","sketch, monologue, connect, comedy, strange, twist, way",tt0112084,HBO,United States
Martin,5,132,7.5,11000,82.5,English,"Sassy sitcom centering on radio and television personality Martin Payne. Series focuses on his romantic relationship with girlfriend Gina, her best friend Pam and escapades with best friends Tommy and Cole.","Comedy, Drama",HBO Independent Productions; prequel series to martin,1992-1997,"Martin Lawrence: Martin Payne …, Tisha Campbell: Gina Waters-Payne …, Thomas Mikal Ford: Tommy Strawn, Carl Anthony Payne II: Cole Brown, Tichina Arnold: Pamela James, Garrett Morris: Stan Winters, Jon Gries: Shawn McDermott, Sean Lampkin: Nipsey, Kymberly Newberry: Bernice …, Reginald Ballard: Brother Man","good friend, good, friend, sassy, pam, sitcom, payne, girlfriend, cole, tommy, center, radio, television, personality, focus, relationship",tt0103488,FOX,United States
Taz-Mania,4,121,6.7,11000,73.7,English,"Taz-Mania is an American cartoon sitcom produced by Warner Bros. Animation from 1991 to 1995, broadcast in the United States on Fox and in Canada on Baton Broadcast System. The show follows the adventures of the classic Looney Tunes character, Taz in the fictional land of Tazmania.

Similar to other Warner Brothers cartoons of its time, such as Animaniacs and Tiny Toon Adventures, Taz-Mania frequently broke the fourth wall, and often made jokes showing that Taz could actually speak perfectly normal when he wanted to. The intro indicates that, in this rendering of Tasmania, ""the sky's always yellow, rain or shine"". The title song is performed by Jess Harnell and Jim Cummings.","Family, Animation, Comedy",Warner Bros. Animation,1991-1995,"Jim Cummings: Taz …, Rob Paulsen: Timothy Platypus …, Maurice LaMarche: Hugh Tazmanian Devil …, Miriam Flynn: Jean Tazmanian Devil …, Kellie Martin: Molly Tazmanian Devil, Debi Derryberry: Jake Tazmanian Devil …, Dan Castellaneta: Mr. Thickley …, John Astin: Bull Gator, Rosalyn Landor: Constance Koala …, Phil Proctor: Chief Bushrat …","family friend, devil, enemy, daily, adventure, star, family, friend",tt0103562,"FOX, Fox Kids","United States, Philippines, New Zealand, Taiwan, Canada, South Korea"
Dallas,14,357,7.2,11000,79.2,English,"The world's first mega-soap, and one of the most popular ever produced, Dallas had it all. Beautiful women, expensive cars, and men playing Monopoly with real buildings. Famous for one of the best cliffhangers in TV history, as the world asked ""Who shot J.R.?"" A slow-burner to begin with, Dallas hit its stride in the 2nd season, with long storylines and expert character development. Dallas ruled the airwaves in the 1980's.","Soap, Drama",,1978-1991,"Josh Henderson: John Ross Ewing, Jesse Metcalfe: Christopher Ewing, Jordana Brewster: Elena Ramos, Julie Gonzalo: Pamela Rebecca Barnes …, Brenda Strong: Ann Ewing, Patrick Duffy: Bobby Ewing, Linda Gray: Sue Ellen Ewing, Mitch Pileggi: Harris Ryland, Emma Bell: Emma Brown, Kevin Page: Bum","ross, john, christopher, anne, tell, cliff, tommy, news, want, see, think, sell, chris, give, home, project, doctor, find, get, drive, take, plan, sale, ask, access, try, car, feel, kill, hold, make, son, effect, bad, computer, pam, idea, introduce, lot, paper, hour, work, go, know, family, wake, crazy, way, come, house",tt1723760,CBS,United States
Hill Street Blues,7,146,8.2,11000,90.2,English,A realistic glimpse into the daily lives of the officers and detectives at an urban police station.,"Drama, Crime",MTM Enterprises,1981-1987,"Daniel J. Travanti: Capt. Frank Furillo, Michael Warren: Officer Bobby Hill, Bruce Weitz: Sgt. Mick Belker, James Sikking: Lt. Howard Hunter …, Joe Spano: Lt. Henry Goldblume …, Taurean Blacque: Det. Neal Washington, Kiel Martin: Detective J.D. LaRue …, Betty Thomas: Officer Lucy Bates …, Charles Haid: Officer Andrew Renko …, Veronica Hamel: Joyce Davenport","staff, police, drama, follow, city, city police, beat, life work, notable, original, captain, traffic, cop, life, anonymous, law, com, work",tt0081873,NBC,United States
The Jeffersons,11,253,7.5,11000,82.5,English,"Sitcom following a successful African-American couple, George and Louise “Weezyö Jefferson as they “move on up” from working-class Queens to a ritzy Manhattan apartment. A spin-off of All in the Family.",Comedy,"The NRW Company, Embassy Television, Ragamuffin Inc., TAT Communications Company",1975-1985,"Isabel Sanford: Louise Jefferson, Sherman Hemsley: George Jefferson, Roxie Roker: Helen Willis, Franklin Cover: Tom Willis, Marla Gibbs: Florence Johnston, Paul Benedict: Harry Bentley, Berlinda Tolbert: Jenny Willis Jefferson …, Zara Cully: Mother Jefferson …, Ned Wertimer: Ralph Hart, Damon Evans: Lionel Jefferson","george, business, wife, door, family, wealth, black, apartment, open, daughter, successful, son, include, find, franchise, welcome, sassy, major, loud, rathjen briguy_52732, yahoo com, yahoo, version, briguy_52732, compete, brian rathjen, fashion, expand, dislike, display, edu, find work, high rise, get trouble, harry, level, jessica, purchase, rathjen, favorite, favor, engineer, briguy_52732 yahoo, marry, feature, brian, neighbor, trouble, date, money",tt0072519,CBS,United States
Buck Rogers in the 25th Century,2,37,6.9,11000,75.9,English,"20th-century astronaut Buck Rogers awakens in the 25th century after a freak accident puts him in suspended animation for 500 years. Upon returning to Earth and discovering the planet is recovering from a nuclear war, Buck uses his combat skills and ingenuity to protect Earth and fight evil throughout the galaxy alongside starfighter pilot Colonel Wilma Deering and robot companion Twiki.","Action & Adventure, Sci-Fi & Fantasy","Universal Television, Glen A. Larson Productions, Bruce Lansbury Productions, John Mantley Productions",1979-1981,"Gil Gerard: Capt. William 'Buck' Rogers, Erin Gray: Colonel Wilma Deering, Felix Silla: Twiki …, Mel Blanc: Twiki, Tim O'Connor: Dr. Elias Huer, Eric Server: Dr. Theopolis, Thom Christopher: Hawk, Jay Garner: Admiral Efram Asimov, Wilfrid Hyde-White: Dr. Goodfellow, Dennis Haysbert: Communication-Probe Officer …","earth, reach, unknown, ranger, explore, deep, william, revive, second season, cause, second, year, return, season, come, cast, adjust life, post, support, storm, officer, great hero, pilot, freak, blow, account, animation, devastate, brian, able, empire, adjust, catch, crew, awaken, military, hero, life, survive, accident, attack, month, com, group, join, war, great",tt0078579,NBC,United States
